序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
50,020692,博时中证全指通信设备指数发起式C,2026-05-07,3.4097,3.4097,4.19,6.46,25.56,35.9,52.65,229.89,240.97,,34.78,240.97,218.0987,0.00%
51,519770,交银优择回报灵活配置混合A,2026-05-07,5.0225,5.0975,3.79,6.51,33.86,39.29,51.57,227.56,261.59,255.95,46.19,438.76,226.7942,0.08%
52,011815,恒越优势精选混合A,2026-05-07,1.9874,1.9874,3.16,5.58,40.71,37.31,34.89,227.31,258.74,187.07,34.63,98.74,226.4991,0.15%
53,519771,交银优择回报灵活配置混合C,2026-05-07,5.0085,5.0835,3.79,6.51,33.84,39.22,51.42,226.93,260.06,253.96,46.08,437.4,226.1592,0.00%
54,001184,易方达新常态灵活配置混合,2026-05-07,1.798,1.798,3.04,5.39,35.29,51.73,63.6,226.91,204.75,209.47,54.6,79.8,225.1356,0.15%
55,008555,华商龙头优势混合,2026-05-07,2.4464,2.4464,3.7,6.89,29.34,41.17,68.36,226.84,182.2,155.26,54.95,144.64,222.8292,0.15%
56,007817,国泰中证全指通信设备ETF联接A,2026-05-07,3.9401,3.9401,4.17,6.44,25.42,36.0,51.91,225.25,236.01,292.71,35.13,294.01,213.5025,0.10%
57,022500,国泰中证全指通信设备ETF联接E,2026-05-07,3.9232,3.9232,4.17,6.44,25.4,35.9,51.69,224.29,,,34.98,184.99,212.5807,0.00%
58,007818,国泰中证全指通信设备ETF联接C,2026-05-07,3.8584,3.8584,4.17,6.44,25.4,35.9,51.69,224.26,234.0,289.19,34.99,285.84,212.5729,0.00%
59,001170,宏利复兴混合A,2026-05-07,4.317,4.317,5.19,7.63,35.93,61.14,74.0,221.44,317.5,222.89,63.21,331.7,220.49,0.15%
60,720001,财通价值动量混合A,2026-05-07,11.684,12.155,2.64,3.64,29.59,42.89,48.58,221.34,209.18,174.47,42.04,1448.06,225.2784,0.15%
61,017612,宏利复兴混合C,2026-05-07,4.275,4.275,5.19,7.63,35.89,61.02,73.78,220.46,315.05,219.99,63.04,266.01,219.5067,0.00%
62,021523,财通价值动量混合C,2026-05-07,3.038,3.038,2.67,3.65,29.55,42.76,48.34,220.13,,,41.9,203.8,223.8806,0.00%
63,008988,大成科技创新混合A,2026-05-07,4.5542,4.5542,3.79,8.86,31.98,50.76,55.69,218.81,288.29,283.83,51.29,355.42,219.6827,0.15%
64,008989,大成科技创新混合C,2026-05-07,4.4464,4.4464,3.79,8.85,31.95,50.62,55.4,217.6,285.2,279.29,51.09,344.64,218.4644,0.00%
65,008382,融通产业趋势股票,2026-05-07,2.1357,2.1907,5.35,8.11,42.09,61.51,78.08,215.61,208.09,160.2,58.89,123.98,216.2126,0.15%
66,000390,华商优势行业混合A,2026-05-07,2.971,5.586,4.39,7.02,30.31,54.34,74.52,214.29,226.28,216.66,58.88,2190.05,212.0578,0.15%
67,005903,宏利绩优混合A,2026-05-07,4.2488,4.4898,4.42,6.57,35.73,61.89,74.67,214.03,253.13,202.43,65.42,404.32,212.3429,0.15%
68,015576,宏利绩优混合C,2026-05-07,4.1838,4.4248,4.41,6.57,35.7,61.74,74.34,212.78,250.4,198.86,65.2,188.89,211.1095,0.00%
69,168401,红土精选混合(LOF)A,2026-05-07,6.431,6.431,5.55,8.24,35.95,51.81,78.08,212.52,272.94,189.09,66.66,543.1,211.4738,0.15%
70,000531,东吴阿尔法灵活配置混合A,2026-05-07,2.9444,2.9444,2.72,4.18,30.21,32.02,34.93,210.95,204.27,118.88,31.48,194.44,197.4742,0.15%
71,014581,东吴阿尔法灵活配置混合C,2026-05-07,2.9163,2.9163,2.72,4.17,30.16,31.89,34.66,209.72,201.86,116.26,31.29,33.37,196.2816,0.00%
72,001513,易方达信息产业混合A,2026-05-07,7.69,7.81,3.78,6.47,31.14,42.5,47.0,208.74,260.1,204.31,42.09,685.74,207.5298,0.15%
73,019018,易方达信息产业混合C,2026-05-07,7.59,7.71,3.77,6.47,31.09,42.31,46.64,207.22,256.65,,41.87,265.22,206.0056,0.00%
74,240011,华宝大盘精选混合,2026-05-07,6.2072,6.834,1.25,3.06,22.87,28.23,32.9,206.86,193.47,169.05,26.76,698.1,195.9799,0.15%
75,009855,中加新兴成长混合A,2026-05-07,3.105,3.105,4.77,7.83,29.62,49.73,58.65,206.76,207.85,162.47,55.34,210.5,208.3416,0.12%
76,580006,东吴新经济混合A,2026-05-07,1.9719,2.3619,2.74,4.09,30.02,31.71,34.78,206.67,205.67,94.16,31.42,173.26,193.8748,0.15%
77,009856,中加新兴成长混合C,2026-05-07,3.0326,3.0326,4.77,7.83,29.57,49.57,58.31,205.52,205.37,159.29,55.1,203.26,207.0676,0.00%
78,012617,东吴新经济混合C,2026-05-07,1.9356,1.9356,2.73,4.08,29.98,31.58,34.51,205.44,203.24,91.83,31.24,18.88,192.6962,0.00%
79,002152,华宝核心优势混合A,2026-05-07,5.843,5.843,1.35,3.07,21.7,26.66,31.27,204.8,195.25,182.0,25.55,484.3,193.9135,0.15%
80,016461,华宝核心优势混合C,2026-05-07,5.74,5.74,1.36,3.05,21.66,26.49,30.9,203.22,191.96,178.24,25.3,197.87,192.2607,0.00%
81,001956,国联安科技动力,2026-05-07,3.7915,3.7915,4.99,7.39,32.62,55.4,58.02,202.62,193.53,131.58,49.47,279.15,202.232,0.15%
82,021933,富国中证通信设备主题ETF发起式联接A,2026-05-07,3.5311,3.5311,3.87,6.06,25.36,33.2,57.82,199.98,,,33.0,253.11,189.0553,0.12%
83,021934,富国中证通信设备主题ETF发起式联接C,2026-05-07,3.5191,3.5191,3.87,6.06,25.35,33.14,57.67,199.42,,,32.91,251.91,188.4981,0.00%
84,021988,银河中证通信设备主题指数发起式A,2026-05-07,2.7371,2.7371,3.82,5.92,24.89,32.7,56.36,198.68,,,32.23,173.71,187.7523,0.10%
85,021989,银河中证通信设备主题指数发起式C,2026-05-07,2.7248,2.7248,3.81,5.92,24.86,32.61,56.13,197.79,,,32.09,172.48,186.9117,0.00%
86,015096,东财数字经济混合发起式A,2026-05-07,2.6883,2.6883,4.81,7.64,35.93,47.46,47.56,196.62,185.29,142.65,39.49,168.83,191.4462,0.15%
87,023451,中欧信息科技混合发起A,2026-05-07,2.8807,2.8807,4.39,7.66,29.55,44.62,45.53,196.09,,,42.15,188.07,195.9421,0.15%
88,290008,泰信发展主题混合,2026-05-07,3.012,3.451,-4.08,-2.78,32.05,55.42,65.95,194.43,169.41,70.27,50.68,308.84,190.1734,0.15%
89,023452,中欧信息科技混合发起C,2026-05-07,2.8577,2.8577,4.39,7.65,29.48,44.43,45.13,194.43,,,41.89,185.77,194.2745,0.00%
90,015097,东财数字经济混合发起式C,2026-05-07,2.601,2.601,4.81,7.62,35.84,47.17,46.98,194.26,180.89,136.99,39.11,160.1,189.1285,0.00%
91,017234,永赢睿恒混合A,2026-05-07,2.8688,2.8688,1.93,4.99,23.69,21.71,33.87,193.42,,,30.88,186.88,192.5257,1.50%
92,013721,信澳景气优选混合A,2026-05-07,2.549,2.549,3.96,6.65,39.19,40.15,56.2,192.35,265.08,225.5,42.01,154.9,193.1233,0.15%
93,018287,信澳优势产业混合A,2026-05-07,3.514,3.514,3.69,6.27,38.54,39.49,55.73,192.05,282.66,,41.55,251.4,191.812,0.15%
94,022368,永赢睿恒混合C,2026-05-07,2.8457,2.8457,1.93,4.98,23.63,21.53,33.48,191.78,,,30.61,184.57,190.8821,0.00%
95,018288,信澳优势产业混合C,2026-05-07,3.4521,3.4521,3.69,6.26,38.47,39.28,55.28,190.31,278.06,,41.26,245.21,190.0681,0.00%
96,008086,华夏中证5G通信主题ETF联接A,2026-05-07,2.9999,2.9999,3.85,6.29,31.31,37.84,46.55,190.13,209.88,229.59,36.28,199.99,182.1576,0.12%
97,013722,信澳景气优选混合C,2026-05-07,2.4616,2.4616,3.95,6.63,39.1,39.87,55.58,190.04,259.36,217.83,41.62,146.16,190.7974,0.00%
98,002272,新华科技创新主题灵活配置混合,2026-05-07,2.685,2.685,5.58,8.64,42.51,51.71,85.4,189.77,214.59,96.03,67.31,168.5,184.5787,0.15%
99,023765,华夏中证5G通信主题ETF联接D,2026-05-07,2.9463,2.9463,3.85,6.28,31.29,37.77,46.41,189.53,,,36.19,227.26,181.5923,0.00%
100,016372,信澳匠心严选一年持有混合A,2026-05-07,2.2598,2.2598,3.95,6.66,38.49,39.05,55.52,189.42,163.2,146.92,40.9,125.98,190.1644,0.15%
101,010013,易方达信息行业精选股票A,2026-05-07,2.4769,2.5169,3.93,6.72,32.11,43.08,45.58,189.4,236.71,174.09,42.85,153.31,188.6392,0.15%
102,008087,华夏中证5G通信主题ETF联接C,2026-05-07,2.9429,2.9429,3.85,6.28,31.27,37.73,46.33,189.26,208.03,226.63,36.14,194.29,181.3211,0.00%
103,501026,财通多策略福享混合(LOF),2026-05-07,2.2016,2.2016,3.18,5.12,39.04,47.38,53.5,188.7,186.74,170.23,41.63,120.16,185.8478,0.15%
104,020661,中加科技创新混合发起式A,2026-05-07,2.9027,2.9027,5.75,8.51,31.01,33.43,48.52,188.17,213.84,,38.89,190.27,184.4948,0.15%
105,019024,易方达信息行业精选股票C,2026-05-07,2.4454,2.4854,3.93,6.71,32.06,42.9,45.22,187.93,233.27,,42.61,224.83,187.1716,0.00%
106,016373,信澳匠心严选一年持有混合C,2026-05-07,2.2106,2.2106,3.95,6.65,38.42,38.85,55.05,187.69,160.04,142.5,40.61,121.06,188.4018,0.00%
107,009062,财通智慧成长混合A,2026-05-07,3.0524,3.0524,3.61,7.77,28.42,36.75,46.81,187.07,181.46,140.08,39.07,205.24,189.4368,0.15%
108,460007,华泰柏瑞行业领先混合,2026-05-07,6.036,6.036,3.3,5.12,32.4,56.37,82.91,186.61,162.32,125.98,58.09,503.6,185.1205,0.15%
109,020662,中加科技创新混合发起式C,2026-05-07,2.8686,2.8686,5.75,8.5,30.94,33.24,48.11,186.49,210.42,,38.63,186.86,182.8436,0.00%
110,008889,银华中证5G通信主题ETF联接A,2026-05-07,2.3034,2.3034,3.83,6.21,31.18,37.01,45.03,186.07,204.88,224.47,35.02,130.34,178.3565,0.12%
111,010524,银华中证5G通信主题ETF联接C,2026-05-07,2.2677,2.2677,3.83,6.2,31.15,36.91,44.83,185.25,203.09,221.61,34.88,146.65,177.5303,0.00%
112,000411,景顺长城优质成长股票A,2026-05-07,4.279,4.832,2.96,6.18,31.18,37.54,58.42,185.08,234.04,236.85,43.4,536.66,183.3775,0.15%
113,010391,易方达战略新兴产业股票A,2026-05-07,2.3844,2.4544,3.3,5.75,36.11,46.02,48.06,184.82,262.26,213.23,44.26,147.83,183.9428,0.15%
114,009063,财通智慧成长混合C,2026-05-07,2.9073,2.9073,3.6,7.75,28.33,36.48,46.23,184.78,177.02,134.38,38.69,190.73,187.1407,0.00%
115,002770,安信新回报混合A,2026-05-07,6.7371,6.7871,3.79,7.26,40.72,47.07,46.52,184.3,205.05,186.38,43.81,604.78,188.1812,0.08%
116,013369,汇添富自主核心科技一年持有混合A,2026-05-07,2.5881,2.5881,4.75,6.77,33.51,44.93,46.46,184.0,244.48,177.96,40.7,158.81,182.9452,0.15%
