序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
9845,261101,景顺长城稳定收益债券C,2026-05-07,1.269,1.571,0.0,0.24,1.68,1.12,4.1,10.93,25.27,20.4,4.02,68.3,10.5401,0.00%
9846,002000,工银新生利混合,2026-05-07,1.595,1.595,0.0,0.25,2.24,1.21,3.84,10.92,17.89,17.45,3.5,59.5,10.687,0.15%
9847,013971,长江尊利债券C,2026-05-07,1.2389,1.2389,0.0,0.28,1.66,1.59,3.0,10.92,13.88,16.37,2.87,19.03,10.7149,0.00%
9848,161726,招商国证生物医药指数(LOF)A,2026-05-07,0.3955,0.9596,0.61,0.3,-0.98,-2.44,-6.81,10.91,-3.32,-26.46,-0.03,-36.93,10.3824,0.10%
9849,006377,广发趋势动力混合A,2026-05-07,1.4786,1.7489,0.17,3.01,3.2,-13.82,-8.12,10.91,4.83,-16.14,-5.29,71.87,10.9644,0.15%
9850,013831,中欧瑾尚混合C,2026-05-07,1.0387,1.0387,-0.05,0.17,2.01,1.53,2.55,10.91,15.1,7.65,3.69,3.87,10.9485,0.00%
9851,014567,国泰海通善融稳健一年持有混合(FOF)C,2026-04-30,1.0717,1.0717,-0.03,0.19,1.08,-0.03,4.13,10.91,11.74,8.97,4.01,7.17,,0.00%
9852,014697,南方誉稳一年持有混合A,2026-05-07,1.2487,1.2487,0.26,1.05,3.67,1.97,3.58,10.91,15.93,16.74,3.8,24.87,10.7494,0.08%
9853,021735,景顺长城沪港深红利成长低波指数E,2026-05-07,1.2582,1.4587,-0.26,-0.09,1.32,-1.54,-1.49,10.91,,,1.09,27.96,10.3747,0.00%
9854,021898,易方达汇享稳健养老一年持有混合(FOF)Y,2026-04-30,1.165,1.165,0.04,0.18,2.52,0.44,3.04,10.91,,,2.9,15.94,,0.00%
9855,161907,红利ETF联接,2026-05-07,1.5842,2.7769,-1.49,-1.17,2.13,2.18,0.75,10.9,12.24,16.57,5.07,194.23,10.7417,0.10%
9856,012248,大成恒享夏盛一年定开混合A,2026-05-07,1.0612,1.0751,0.16,0.35,2.57,2.35,2.76,10.9,11.48,10.55,3.5,7.55,10.7761,0.10%
9857,012946,南方宝裕混合C,2026-05-07,1.1932,1.1932,0.03,0.16,1.92,2.11,4.21,10.9,12.23,15.96,4.05,19.32,10.7173,0.00%
9858,019712,博时稳合一年持有期混合A,2026-05-07,1.0967,1.1949,0.58,1.71,6.5,3.82,4.08,10.9,19.99,,4.74,20.21,10.8269,0.08%
9859,002177,中信保诚新泽混合B,2026-05-07,1.5724,1.6654,-0.27,-0.01,2.66,1.14,1.05,10.89,6.6,8.97,1.91,72.09,10.6545,0.00%
9860,011232,光大锦弘混合C,2026-05-07,1.2694,1.2694,0.5,1.57,5.41,1.93,5.05,10.89,22.41,26.51,4.75,26.94,10.6617,0.00%
9861,015691,富国长期成长混合C,2026-05-07,0.8005,0.8005,0.04,1.38,6.22,-3.3,0.78,10.89,17.96,5.48,1.35,-4.45,11.0264,0.00%
9862,014859,大成慧心优选一年持有混合A,2026-05-07,1.3762,1.3762,-0.16,1.24,9.48,3.04,3.22,10.89,23.01,37.55,4.26,37.62,10.6448,0.15%
9863,008272,大成优势企业混合C,2026-05-07,2.3882,2.3882,-0.58,0.63,5.3,0.16,1.16,10.88,23.43,35.71,1.83,138.82,10.5495,0.00%
9864,010657,海富通欣睿混合A,2026-05-07,1.3772,1.3772,0.05,0.22,1.67,0.69,3.51,10.88,18.7,21.51,2.98,37.72,10.7074,0.08%
9865,017742,中欧行业鑫选混合A,2026-05-07,1.0728,1.0728,2.47,4.82,9.11,5.48,5.4,10.88,12.57,,10.42,7.28,10.5523,0.15%
9866,016832,东方红锦惠甄选18个月持有混合A,2026-05-07,1.1795,1.1795,0.67,2.1,4.78,3.86,4.56,10.87,18.1,17.59,5.4,17.95,10.6058,0.10%
9867,002276,中邮纯债恒利债券A,2026-05-07,1.511,1.622,0.07,0.33,1.75,0.94,3.92,10.86,17.22,21.76,3.49,67.81,10.3725,0.08%
9868,006586,南方安裕混合C,2026-05-07,1.15,1.4899,0.03,0.37,1.57,2.18,4.59,10.86,11.99,13.12,3.99,48.02,10.6544,0.00%
9869,007760,景顺长城沪港深红利成长低波指数C,2026-05-07,1.2555,1.6343,-0.26,-0.09,1.31,-1.55,-1.52,10.86,27.87,33.06,1.07,73.94,10.3173,0.00%
9870,010924,博时双季鑫6个月持有混合B,2026-05-07,1.1452,1.1452,0.49,1.53,5.78,3.64,4.01,10.86,16.92,13.02,4.18,14.52,10.9797,0.00%
9871,009460,安信禧悦稳健养老一年持有混合(FOF)A,2026-04-30,1.2405,1.2405,0.02,0.37,2.85,0.23,2.01,10.86,13.62,11.45,2.56,24.05,,0.12%
9872,003275,国联安添利增长债A,2026-05-07,1.5045,1.6325,-0.11,-0.19,0.47,-1.2,0.25,10.85,15.01,15.32,1.28,65.87,10.5031,0.07%
9873,010934,国寿安保稳福6个月持有期混合A,2026-05-07,1.17,1.17,0.67,1.1,6.48,7.13,6.62,10.85,21.26,22.03,7.44,17.0,10.5233,0.10%
9874,012615,东吴国企改革主题灵活配置混合C,2026-05-07,0.8665,0.8665,-0.29,-0.52,3.71,-2.76,-0.81,10.85,8.98,3.52,-1.29,-26.27,10.9333,0.00%
9875,012018,国投瑞银和旭一年持有债券C,2026-05-07,1.1229,1.1229,0.1,0.48,2.86,2.34,3.87,10.85,13.8,14.89,4.05,12.29,10.7178,0.00%
9876,000508,宏利宏达混合B,2026-05-07,1.258,1.701,0.24,0.4,3.71,2.19,3.45,10.84,15.52,13.39,3.28,83.9,10.4478,0.00%
9877,005078,富国宝利增强债券A,2026-05-07,1.4622,1.5022,0.14,0.45,2.37,1.87,3.47,10.84,17.46,17.88,3.23,50.95,10.555,0.08%
9878,012741,工银平衡回报6个月持有期债券C,2026-05-07,1.1616,1.1616,-0.17,-0.37,-0.11,0.25,-5.33,10.84,14.41,14.9,-0.37,16.16,10.8714,0.00%
9879,350009,天治研究驱动混合A,2026-05-07,1.854,2.5939,1.0,1.99,14.97,3.9,0.76,10.83,30.53,5.89,5.17,204.59,10.8255,0.10%
9880,013628,广发集悦债券A,2026-05-07,1.1247,1.1247,0.58,1.38,4.03,3.74,6.63,10.83,14.33,11.0,6.38,12.47,10.4813,0.10%
9881,022175,富国宝利增强债券E,2026-05-07,1.4617,1.4617,0.14,0.45,2.37,1.87,3.47,10.83,,,3.23,19.28,10.5422,0.00%
9882,001756,嘉实策略优选混合,2026-05-07,1.26,1.726,0.16,0.56,3.19,0.8,2.36,10.82,12.7,16.67,1.86,86.93,10.6234,0.15%
9883,014029,浦银安盛红利精选混合C,2026-05-07,1.4426,3.1576,-0.89,-0.54,2.28,-1.87,0.61,10.82,-0.26,-19.98,0.9,-30.27,11.3719,0.00%
9884,501302,南方恒指ETF联接(LOF)A,2026-05-07,1.2082,1.2082,1.44,2.96,4.78,-2.47,-2.99,10.81,42.49,36.95,-0.12,20.82,10.3379,0.12%
9885,012417,招商国证生物医药指数(LOF)C,2026-05-07,0.3937,0.3937,0.64,0.33,-0.96,-2.43,-6.84,10.81,-3.48,-26.66,-0.03,-64.63,10.2801,0.00%
9886,014121,大成品质医疗股票A,2026-05-07,0.8171,0.8171,-0.15,-0.87,-2.71,-5.1,-9.55,10.81,-0.44,-12.32,-5.58,-18.29,10.2104,0.15%
9887,002494,兴业聚盈混合A,2026-05-07,1.6491,1.6491,0.35,0.88,3.95,3.53,5.14,10.8,13.65,15.76,5.19,64.91,10.5221,0.15%
9888,009887,广发稳健优选六个月持有期混合A,2026-05-07,1.171,1.171,1.9,2.69,12.66,8.12,17.04,10.8,11.35,4.94,20.25,17.1,10.2948,0.15%
9889,011155,金鹰责任投资混合A,2026-05-07,0.5304,0.7262,3.98,5.24,-2.14,1.67,-7.16,10.8,11.55,-16.58,6.06,-36.63,10.7769,0.15%
9890,010905,博时双季鑫6个月持有混合C,2026-05-07,1.1421,1.1421,0.48,1.53,5.78,3.62,3.98,10.8,16.8,12.83,4.16,14.21,10.9158,0.00%
9891,090020,大成健康产业混合A,2026-05-07,1.232,1.232,0.65,0.41,1.07,-1.04,-5.74,10.79,-1.12,-13.48,0.33,23.2,10.2954,0.15%
9892,011034,南方宝恒混合C,2026-05-07,1.2265,1.2265,0.07,0.3,2.3,2.32,4.44,10.79,13.81,18.32,4.07,22.65,10.6151,0.00%
9893,015558,万家中证红利ETF联接C,2026-05-07,1.5584,2.7393,-1.49,-1.17,2.12,2.15,0.7,10.79,11.92,15.52,5.03,36.33,10.6265,0.00%
9894,018627,富国兴享回报6个月持有期混合C,2026-05-07,1.1789,1.1789,0.23,0.92,3.84,3.06,6.59,10.79,16.82,,5.98,17.89,10.26,0.00%
9895,164705,汇添富恒生指数(QDII-LOF)A,2026-05-07,1.1912,1.3362,1.39,2.98,5.19,-1.42,-2.38,10.78,41.42,36.94,0.57,36.19,10.3678,0.12%
9896,004877,汇添富全球医疗混合(QDII)人民币,2026-05-06,2.4219,2.4219,-0.2,1.39,-3.34,-6.66,-0.78,10.78,17.79,29.48,-5.01,142.19,,0.16%
9897,008999,景顺景颐嘉利6个月持有期债券A,2026-05-07,1.3711,1.3711,-0.09,0.09,1.44,0.62,2.57,10.78,15.6,18.66,2.41,37.11,10.528,0.08%
9898,012436,万家招瑞回报一年持有混合C,2026-05-07,1.1194,1.1194,0.26,0.57,2.0,1.67,3.48,10.78,15.15,15.89,3.01,11.94,10.6454,0.00%
9899,013758,泰信均衡价值混合C,2026-05-07,0.7102,0.7102,0.52,3.74,5.57,-4.88,-0.55,10.78,12.07,-8.66,1.92,-28.98,11.2469,0.00%
9900,015546,大成恒生指数(QDII-LOF)C,2026-05-07,1.034,1.034,1.39,3.01,5.17,-1.7,-2.75,10.78,40.17,,0.16,39.54,10.2698,0.00%
9901,010880,南方宝升混合C,2026-05-07,1.0258,1.0258,0.05,0.39,3.58,1.87,3.44,10.77,13.91,13.95,3.68,2.58,10.5865,0.00%
9902,010742,南方宁悦一年持有期混合A,2026-05-07,1.2723,1.2723,0.08,0.29,2.15,2.37,4.54,10.77,14.15,19.33,3.88,27.23,10.5963,0.08%
9903,160918,大成中小盘混合(LOF)A,2026-05-07,2.7028,6.4072,-0.18,0.53,2.47,-3.59,0.7,10.77,10.34,-9.58,1.4,327.55,10.9934,0.15%
9904,018990,兴银智选消费混合A,2026-05-07,1.1966,1.1966,0.74,0.54,-1.03,-9.54,-7.13,10.77,15.77,,-5.44,19.66,10.6426,0.15%
9905,006759,银河乐活优萃混合A,2026-05-07,0.9696,0.9696,0.35,1.57,7.51,-1.47,0.75,10.76,-2.44,-16.94,-0.6,-3.04,9.9444,0.15%
9906,018834,易方达汇享稳健养老一年持有混合(FOF)A,2026-04-30,1.1623,1.1623,0.03,0.17,2.5,0.41,2.97,10.76,15.49,,2.84,16.23,,0.08%
9907,021081,鹏华中证车联网主题ETF发起式联接C,2026-05-07,1.3213,1.3213,0.98,2.88,8.13,-3.33,-2.57,10.76,26.67,,-3.34,32.13,9.6606,0.00%
9908,519694,交银蓝筹混合,2026-05-07,0.6895,1.6735,1.5,3.53,7.82,-6.86,0.5,10.75,9.39,-3.62,-2.21,70.72,8.8226,0.15%
9909,010930,大成核心价值甄选混合C,2026-05-07,1.3061,1.3061,-0.53,0.55,6.4,0.57,1.96,10.75,16.52,27.8,2.1,30.61,10.6396,0.00%
9910,017881,工银精选回报混合A,2026-05-07,1.3946,1.3946,0.0,0.74,2.42,-13.43,-5.21,10.75,24.16,,-8.05,39.46,11.5859,0.15%
9911,001392,国富金融地产混合A,2026-05-07,1.344,1.344,0.74,2.21,7.35,-4.33,-1.96,10.74,23.97,10.15,-2.43,34.4,9.8847,0.15%
9912,014085,浙商聚潮新思维混合C,2026-05-07,3.093,3.093,-0.03,0.85,5.13,-3.4,-0.67,10.74,32.86,15.93,-1.15,-7.15,10.5038,0.00%
9913,023585,中欧红利智选混合C,2026-05-07,1.0033,1.104,-0.38,-0.11,0.41,-1.94,-0.46,10.74,,,1.48,10.47,,0.00%
9914,011274,泰信景气驱动12个月持有混合C,2026-05-07,0.6407,0.6407,0.27,2.51,6.64,-2.17,0.2,10.73,9.73,-9.7,3.04,-35.93,11.2133,0.00%
9915,019458,平安先进制造主题股票发起C,2026-05-07,1.8293,1.8293,3.31,4.82,12.67,-5.86,-2.98,10.72,90.27,,-2.98,82.93,10.0596,0.00%
9916,519730,交银定期支付月月丰债券A,2026-05-07,1.7149,1.7149,0.14,0.19,2.39,1.91,4.5,10.71,12.75,10.25,4.86,71.49,10.4463,0.08%
9917,519686,交银上证180公司治理联接,2026-05-07,1.912,1.912,0.05,0.47,2.41,-2.55,0.42,10.71,17.88,18.98,-0.98,91.2,10.3289,0.15%
9918,005886,华夏鼎沛债券A,2026-05-07,1.2825,1.3827,1.02,3.25,11.84,4.52,4.23,10.71,17.75,16.06,4.46,38.29,10.6939,0.08%
9919,007569,南方安福混合C,2026-05-07,1.21,1.4261,0.7,1.84,9.44,7.22,9.0,10.71,13.51,10.7,8.41,37.5,10.6032,0.00%
9920,012024,兴业聚乾混合C,2026-05-07,1.1111,1.1111,0.42,1.0,4.9,4.05,5.25,10.71,12.53,14.37,5.53,11.11,10.4144,0.00%
9921,013629,广发集悦债券C,2026-05-07,1.1197,1.1197,0.58,1.38,4.01,3.7,6.57,10.71,14.09,10.66,6.34,11.97,10.3696,0.00%
9922,015781,大成ESG责任投资混合发起式C,2026-05-07,1.2762,1.2762,-0.16,0.79,2.67,-3.05,-0.06,10.71,24.56,24.39,2.5,27.62,10.9643,0.00%
9923,017620,鑫元添鑫回报6个月持有期混合C,2026-05-07,1.1707,1.1707,0.3,1.46,4.95,2.9,3.34,10.71,16.72,17.65,1.93,17.07,10.5999,0.00%
9924,000810,富国收益增强债券A,2026-05-07,1.449,1.644,0.35,1.33,5.0,2.77,5.54,10.7,13.83,3.06,5.61,68.2,10.6107,0.08%
9925,005142,国联沪港深大消费主题A,2026-05-07,0.8751,0.8751,2.82,6.88,12.95,-4.64,-7.52,10.7,44.84,22.07,-3.2,-12.49,10.7021,0.15%
9926,013393,信澳价值精选混合A,2026-05-07,0.8248,0.8248,-0.24,-0.22,0.38,-7.62,-0.17,10.7,13.08,-6.69,-5.16,-17.52,10.4741,0.15%
9927,010547,博时恒进持有期混合A,2026-05-07,1.179,1.179,0.34,0.99,4.28,3.12,3.58,10.7,13.17,12.75,4.27,17.9,10.476,0.08%
9928,018772,南方惠享稳健添利债券A,2026-05-07,1.1801,1.1801,0.2,0.49,1.77,1.58,3.22,10.7,15.58,,2.9,18.01,10.4859,0.08%
9929,018515,中欧预见养老2040三年持有混合发起(FOF),2026-04-30,1.1805,1.1805,0.01,0.14,4.2,-1.05,-1.25,10.7,13.64,,0.38,18.05,,0.12%
9930,001863,东方红收益增强债券C,2026-05-07,1.3356,1.5496,0.43,0.82,2.71,-0.9,0.98,10.69,26.26,25.38,0.67,62.76,10.3437,0.00%
9931,008045,博远增强回报债券C,2026-05-07,0.9865,1.064,0.57,1.94,5.58,3.22,4.05,10.69,9.82,7.4,4.29,6.33,10.2481,0.00%
9932,003835,鹏华沪深港新兴成长混合A,2026-05-07,1.7598,2.1248,4.39,6.31,15.75,-6.32,1.61,10.69,53.0,38.57,-6.37,116.13,10.0013,0.15%
9933,017948,国富中小盘股票C,2026-05-07,2.7181,2.7181,-0.19,0.54,5.26,-3.92,1.28,10.69,16.25,3.43,2.42,4.52,10.4335,0.00%
9934,001717,工银前沿医疗股票A,2026-05-07,3.132,3.132,0.51,0.9,-1.97,1.89,-1.85,10.67,4.54,-11.72,1.72,213.2,11.1032,0.15%
9935,014551,诺安新动力灵活配置混合C,2026-05-07,3.547,3.547,-1.17,-1.8,-1.75,-1.58,1.75,10.67,8.04,-6.14,1.52,-12.66,10.2923,0.00%
9936,013364,大成中国优势混合(QDII)C,2026-05-06,1.2644,1.2644,0.23,-0.53,-1.05,-7.47,-8.91,10.67,28.65,35.42,-4.31,26.44,,0.00%
9937,017326,博时颐泽稳健养老(FOF)Y,2026-04-30,1.2851,1.2851,0.05,0.39,2.33,0.45,3.45,10.67,13.39,9.21,3.26,9.91,,0.00%
9938,004975,交银恒益灵活配置混合A,2026-05-07,1.1154,1.4664,0.04,0.3,1.89,1.18,4.1,10.66,11.43,10.01,3.87,50.87,10.576,0.15%
9939,010239,平安瑞尚六个月持有混合A,2026-05-07,1.2265,1.2265,0.81,0.79,1.94,-0.38,6.0,10.66,20.09,32.22,6.04,22.65,10.2769,0.08%
9940,008847,大成民稳增长混合C,2026-05-07,1.3599,1.3599,0.07,0.33,2.03,3.1,6.19,10.66,15.21,19.5,6.08,35.99,10.4442,0.00%
9941,010775,博时恒旭持有期混合A,2026-05-07,1.1703,1.2293,-0.13,0.18,1.32,0.66,1.08,10.66,22.51,23.48,1.74,23.0,10.4822,0.08%
9942,012087,博时健康生活混合C,2026-05-07,0.647,0.647,0.72,0.31,0.39,-0.9,-0.02,10.66,9.01,-10.14,6.05,-35.3,10.6929,0.00%
9943,011927,博时汇誉回报混合A,2026-05-07,0.8713,0.8713,3.84,7.17,14.22,12.78,5.18,10.66,40.51,22.51,7.87,-12.87,10.515,0.15%
9944,200006,长城消费增值混合A,2026-05-07,1.1549,2.5949,1.22,4.2,5.41,-4.94,-0.26,10.65,3.94,-8.83,4.41,254.62,10.0953,0.12%
9945,002602,易方达丰惠混合,2026-05-07,1.455,1.501,0.07,0.34,2.61,1.82,4.98,10.65,13.67,20.45,4.9,51.27,10.4784,0.10%
9946,006575,华安养老目标2030三年持有混合发起式(FOF)A,2026-04-30,1.1991,1.1991,0.11,0.2,3.34,0.26,2.72,10.65,15.32,8.01,2.75,19.91,,0.12%
9947,010658,海富通欣睿混合C,2026-05-07,1.3629,1.3629,0.05,0.21,1.66,0.65,3.41,10.65,18.24,20.78,2.91,36.29,10.4905,0.00%
9948,010445,南方誉尚一年持有期混合C,2026-05-07,1.0292,1.0292,0.01,0.21,3.66,-0.33,2.0,10.64,13.17,2.66,1.73,2.92,10.4055,0.00%
9949,012014,工银聚润6个月持有混合A,2026-05-07,1.0797,1.0797,0.33,1.01,3.74,1.57,2.48,10.61,15.33,10.25,2.65,7.97,10.557,0.08%
9950,010789,汇添富恒生指数(QDII-LOF)C,2026-05-07,1.1863,1.1863,1.38,2.98,5.18,-1.47,-2.47,10.61,41.18,36.58,0.48,10.25,10.1997,0.00%
9951,018263,海富通稳健养老目标一年持有混合(FOF)Y,2026-04-30,1.3834,1.3834,0.09,0.38,2.7,-0.02,2.66,10.61,14.14,12.88,2.48,12.92,,0.00%
9952,202103,南方多利增强债券A,2026-05-07,1.2408,2.1327,0.06,0.58,3.83,2.34,6.11,10.6,14.89,17.66,5.3,142.96,10.1575,0.08%
9953,012818,招商享诚增强债券A,2026-05-07,1.2305,1.2305,0.12,0.28,2.0,1.59,4.56,10.6,12.54,19.0,4.28,23.05,10.4281,0.08%
9954,021400,广发中证红利ETF发起式联接C,2026-05-07,1.1721,1.2422,-1.52,-1.26,1.86,1.86,0.49,10.6,,,4.87,24.53,10.4369,0.00%
9955,013770,博时稳益9个月持有混合C,2026-05-07,1.2258,1.2258,-0.3,0.06,2.85,2.66,2.94,10.59,18.05,22.56,3.29,22.58,10.4623,0.00%
9956,014698,南方誉稳一年持有混合C,2026-05-07,1.2338,1.2338,0.27,1.05,3.65,1.89,3.43,10.58,15.23,15.7,3.69,23.38,10.417,0.00%
9957,019713,博时稳合一年持有期混合C,2026-05-07,1.0918,1.188,0.59,1.7,6.48,3.75,3.92,10.58,19.27,,4.64,19.47,10.5013,0.00%
9958,000916,前海开源股息率100强股票A,2026-05-07,1.8346,2.5156,-0.63,-0.22,1.06,-0.97,0.89,10.56,10.79,15.46,2.66,193.32,10.558,0.15%
9959,006309,汇添富全球消费混合(QDII)人民币C,2026-05-06,2.2266,2.2266,1.86,2.17,3.66,-5.56,-0.49,10.56,14.17,22.82,-1.64,122.66,,0.00%
9960,014949,交银恒益灵活配置混合C,2026-05-07,1.2374,1.2374,0.04,0.3,1.88,1.15,4.05,10.55,11.2,9.68,3.83,9.15,10.4624,0.00%
9961,519738,交银周期回报灵活配置混合A,2026-05-07,1.3064,1.9884,0.02,0.39,2.18,1.88,4.49,10.54,11.47,10.41,4.1,131.52,10.4348,0.15%
9962,015041,西部利得新富混合C,2026-05-07,1.154,1.439,-0.43,0.26,3.13,1.94,7.45,10.54,-11.37,-16.22,7.95,-27.0,10.7486,0.00%
9963,016833,东方红锦惠甄选18个月持有混合C,2026-05-07,1.1682,1.1682,0.67,2.1,4.75,3.78,4.4,10.54,17.41,16.55,5.29,16.82,10.27,0.00%
9964,023162,银河上证国有企业红利ETF发起式联接A,2026-05-07,1.0949,1.0995,-2.21,-1.91,1.86,3.87,0.02,10.54,,,6.34,9.96,10.5422,0.10%
9965,003169,长盛盛辉混合A,2026-05-07,1.8118,1.8118,0.02,0.32,2.61,0.63,3.62,10.53,11.61,16.2,2.38,81.18,10.3007,0.08%
9966,009611,兴全汇享一年持有混合A,2026-05-07,1.2368,1.2368,-0.21,0.06,2.25,1.74,4.01,10.53,13.5,15.63,4.4,23.68,10.2612,0.12%
9967,011453,华泰柏瑞医疗健康C,2026-05-07,2.0594,2.0594,1.66,0.37,0.14,-2.02,-0.74,10.53,6.2,-8.95,6.09,-31.96,10.8277,0.00%
9968,003401,工银可转债债券,2026-05-07,1.8631,1.8631,-0.07,0.57,3.99,4.23,-1.17,10.52,15.63,25.87,4.18,86.31,10.1839,0.08%
9969,002334,汇丰晋信大盘波动股票A,2026-05-07,1.6412,1.6412,-0.21,-0.13,3.35,2.45,1.84,10.52,12.43,5.64,4.7,64.1,10.4219,0.15%
9970,006008,诺安积极配置混合C,2026-05-07,1.3379,1.3379,0.26,0.28,6.11,-2.49,4.97,10.52,6.55,-4.95,4.42,33.79,10.3241,0.00%
9971,009606,长信稳健精选混合A,2026-05-07,1.2327,1.2327,0.14,0.58,1.58,1.52,3.82,10.52,17.44,12.2,3.54,23.27,10.3186,0.08%
9972,019495,摩根富时发达市场REITs指数(QDII)人民币C,2026-05-06,1.526,1.526,0.65,2.16,7.47,6.05,8.79,10.52,24.68,,9.97,27.09,,0.00%
9973,002277,中邮纯债恒利债券C,2026-05-07,1.483,1.593,0.0,0.27,1.71,0.88,3.71,10.51,16.59,20.86,3.34,64.46,10.0965,0.00%
9974,012278,国泰佳益混合C,2026-05-07,1.0294,1.0294,0.23,0.5,2.24,1.0,2.98,10.51,12.17,7.8,2.72,2.94,10.4033,0.00%
9975,006202,交银核心资产混合A,2026-05-07,1.9629,1.9629,0.72,1.58,3.44,-5.3,-5.18,10.5,20.97,19.94,-2.68,96.27,10.3373,0.15%
9976,011071,鹏华安悦一年持有期混合A,2026-05-07,1.1273,1.1273,0.37,0.63,2.88,1.85,3.82,10.5,14.54,16.24,3.33,12.73,10.4546,0.08%
9977,016278,广发美国房地产指数人民币(QDII)C,2026-05-06,1.291,1.41,0.7,2.22,6.87,5.82,9.39,10.5,23.09,28.01,10.69,22.43,,0.00%
9978,016994,长江惠盈9个月持有债券发起式C,2026-05-07,1.1053,1.1053,0.15,0.57,2.88,3.36,5.08,10.5,10.64,9.42,4.52,10.53,10.3645,0.00%
9979,163811,中银双利债券A,2026-05-07,1.6132,2.0882,0.06,0.44,2.39,0.82,3.11,10.49,25.47,27.11,2.81,130.82,9.9884,0.08%
9980,017902,汇添富双颐债券A,2026-05-07,1.1185,1.1185,-0.11,0.24,1.27,1.41,2.94,10.49,12.98,,2.54,11.85,10.4473,0.08%
9981,002043,天治研究驱动混合C,2026-05-07,1.7063,2.2099,1.0,1.99,14.95,3.85,0.65,10.48,29.83,5.11,5.1,116.99,10.4759,0.10%
9982,019462,工银安悦稳健养老目标三年持有混合(FOF)Y,2026-04-30,1.16,1.16,-0.03,0.09,2.51,-2.65,1.51,10.48,20.38,,2.18,17.85,,0.00%
9983,160910,大成创新成长混合(LOF)A,2026-05-07,0.962,3.095,-0.62,-0.1,2.01,-4.18,2.06,10.47,15.38,10.46,0.45,112.23,10.7142,0.15%
9984,011627,嘉实匠心回报混合C,2026-05-07,0.768,0.768,1.17,1.84,6.68,-2.97,-2.67,10.47,7.25,-3.83,0.13,-23.2,9.4953,0.00%
9985,020195,汇添富中证红利ETF发起式联接A,2026-05-07,1.1361,1.2101,-1.52,-1.27,1.81,1.81,0.5,10.47,11.57,,4.85,21.55,10.3053,0.06%
9986,005143,国联沪港深大消费主题C,2026-05-07,0.8609,0.8609,2.82,6.86,12.92,-4.7,-7.64,10.46,44.13,21.2,-3.28,-13.91,10.4568,0.00%
9987,010781,兴业聚申一年持有期混合A,2026-05-07,1.1701,1.1701,0.38,0.93,4.13,3.67,5.02,10.46,13.21,14.2,5.34,17.01,10.1685,0.10%
9988,012249,大成恒享夏盛一年定开混合C,2026-05-07,1.05,1.0558,0.15,0.34,2.53,2.25,2.55,10.46,10.57,9.22,3.36,5.6,10.3296,0.00%
9989,013221,中欧新兴价值一年持有混合C,2026-05-07,0.9714,0.9714,0.59,-0.41,-0.3,-7.25,-9.7,10.46,36.01,14.07,-7.42,-2.86,10.4491,0.00%
9990,013748,兴业聚盈混合C,2026-05-07,1.6278,1.6278,0.34,0.87,3.92,3.45,4.98,10.46,12.97,14.71,5.07,12.6,10.1875,0.00%
9991,290002,泰信先行策略混合,2026-05-07,0.5817,2.3372,-0.05,2.52,8.36,-3.63,-3.39,10.44,12.06,-9.79,-0.6,160.94,10.8211,0.15%
9992,014860,大成慧心优选一年持有混合C,2026-05-07,1.3582,1.3582,-0.16,1.23,9.44,2.94,3.01,10.44,22.03,35.92,4.11,35.82,10.2077,0.00%
9993,519759,交银周期回报灵活配置混合C,2026-05-07,1.2745,1.9305,0.02,0.39,2.17,1.85,4.44,10.43,11.25,10.09,4.07,88.92,10.3261,0.00%
9994,000511,国泰国策驱动灵活配置混合A,2026-05-07,1.896,2.03,-3.51,-3.12,-1.1,-13.5,5.22,10.43,7.79,7.42,6.04,103.88,10.2326,0.06%
9995,017465,长江楚财一年持有期混合发起C,2026-05-07,1.1012,1.1012,-0.01,0.32,2.06,2.03,3.23,10.43,10.18,,3.38,10.12,10.2082,0.00%
9996,002490,金鹰元祺债券A,2026-05-07,1.7309,1.7729,0.38,0.84,3.23,1.61,4.93,10.42,13.63,17.14,4.91,79.71,10.1362,0.08%
9997,004427,交银增利增强债券A,2026-05-07,1.3594,1.7374,0.13,0.38,1.9,1.5,3.93,10.42,13.06,14.3,3.55,83.37,10.2246,0.08%
9998,013510,国寿安保养老2030三年持有混合(FOF)A,2026-04-30,1.0035,1.0035,0.0,0.03,1.94,-1.75,0.87,10.41,17.85,4.3,0.61,0.35,,0.08%
9999,001562,易方达瑞和灵活配置混合,2026-05-07,1.9667,2.0297,0.02,0.35,3.09,2.17,4.95,10.4,14.08,19.77,3.81,104.38,10.2287,0.06%
10000,011387,工银宁瑞6个月持有期混合A,2026-05-07,1.2113,1.2113,0.17,0.51,2.38,0.9,2.08,10.4,16.18,19.06,2.18,21.13,10.1082,0.08%
10001,010935,国寿安保稳福6个月持有期混合C,2026-05-07,1.1473,1.1473,0.68,1.09,6.45,7.02,6.41,10.4,20.29,20.57,7.29,14.73,10.0844,0.00%
10002,206003,鹏华信用增利债券A,2026-05-07,1.4464,1.9554,-0.14,0.0,0.11,1.03,3.16,10.38,14.36,13.13,1.79,112.98,9.9339,0.08%
10003,002062,国泰国策驱动灵活配置混合C,2026-05-07,1.904,2.04,-3.55,-3.1,-1.14,-13.53,5.14,10.38,7.63,7.15,5.95,45.21,10.1852,0.08%
